Date,open,high,low,close,adj_close,volume
1980-12-12 00:00:00+00:00,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.09829750657081604,469033600
1980-12-15 00:00:00+00:00,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09316926449537277,175884800
1980-12-16 00:00:00+00:00,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08633089065551758,105728000
1980-12-17 00:00:00+00:00,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08846758306026459,86441600
1980-12-18 00:00:00+00:00,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09103245288133621,73449600
1980-12-19 00:00:00+00:00,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09658809751272202,48630400
1980-12-22 00:00:00+00:00,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10128895938396454,37363200
1980-12-23 00:00:00+00:00,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10556329041719437,46950400
1980-12-24 00:00:00+00:00,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11111889034509659,48003200
1980-12-26 00:00:00+00:00,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.121376171708107,55574400
1980-12-29 00:00:00+00:00,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.12308560311794281,93161600
1980-12-30 00:00:00+00:00,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.12009409815073013,68880000
1980-12-31 00:00:00+00:00,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.1166752502322197,35750400
1981-01-02 00:00:00+00:00,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.11795729398727417,21660800
1981-01-05 00:00:00+00:00,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.1153932437300682,35728000
1981-01-06 00:00:00+00:00,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11026415228843689,45158400
1981-01-07 00:00:00+00:00,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10556329041719437,55686400
1981-01-08 00:00:00+00:00,0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,0.10342653840780258,39827200
1981-01-09 00:00:00+00:00,0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.1089821457862854,21504000
1981-01-12 00:00:00+00:00,0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,0.1081274151802063,23699200
1981-01-13 00:00:00+00:00,0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,0.1042812392115593,23049600
1981-01-14 00:00:00+00:00,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.10470855236053467,14291200
1981-01-15 00:00:00+00:00,0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,0.10684536397457123,14067200
1981-01-16 00:00:00+00:00,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.10599062591791153,13395200
1981-01-19 00:00:00+00:00,0.14676299691200256,0.14732100069522858,0.14676299691200256,0.14676299691200256,0.11240095645189285,41574400
1981-01-20 00:00:00+00:00,0.14285700023174286,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.1089821457862854,30083200
